                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.51603,                0.62659,                 1.0572,                0.96129,                 0.9338,                0.97821,                0.91818,                0.35575,                0.41539,                0.96295,             0.00036828,             0.00036828,             0.00036828
                     59,                0.51485,                0.61993,                 1.0581,                0.89182,                0.93632,                 0.9749,                0.91472,                0.35523,                0.62814,                0.97255,             0.00035281,             0.00035281,             0.00035281
                     60,                0.51418,                0.62973,                 1.0711,                 0.9727,                0.96065,                0.99252,                0.93484,                0.37028,                0.44031,                0.96137,             0.00033734,             0.00033734,             0.00033734
                     61,                0.51488,                0.60332,                 1.0599,                 0.9927,                0.97219,                  0.991,                0.92529,                0.34515,                0.36213,                0.94944,             0.00032188,             0.00032188,             0.00032188
                     62,                0.51964,                0.62033,                 1.0534,                0.96095,                 0.9594,                0.96562,                0.91701,                0.34823,                0.44683,                0.96016,             0.00030641,             0.00030641,             0.00030641
                     63,                 0.4904,                0.61199,                 1.0476,                0.94309,                0.97917,                0.97764,                0.93118,                0.35852,                0.42016,                0.97667,             0.00029094,             0.00029094,             0.00029094
                     64,                0.49827,                0.57747,                 1.0558,                 0.9297,                0.96881,                 0.9772,                0.92599,                0.34041,                0.46872,                0.96726,             0.00027547,             0.00027547,             0.00027547
                     65,                0.49467,                0.60356,                 1.0562,                0.97661,                 0.9398,                0.97655,                0.92443,                0.36189,                0.49126,                0.97975,                0.00026,                0.00026,                0.00026
                     66,                0.48371,                0.60187,                 1.0492,                0.95833,                 0.9682,                0.97756,                0.93599,                0.33486,                0.37038,                0.95986,             0.00024453,             0.00024453,             0.00024453
                     67,                0.45857,                0.57816,                 1.0365,                0.96096,                0.95383,                0.97702,                0.93044,                0.38895,                0.37682,                0.99601,             0.00022906,             0.00022906,             0.00022906
                     68,                0.46087,                0.62203,                 1.0293,                0.98184,                0.96311,                  0.995,                0.93144,                0.36604,                0.42739,                0.97857,             0.00021359,             0.00021359,             0.00021359
                     69,                0.45894,                0.58278,                 1.0414,                0.96593,                0.95628,                0.97871,                0.93321,                0.35045,                0.36672,                0.98463,             0.00019813,             0.00019813,             0.00019813
                     70,                0.44218,                0.56954,                 1.0349,                 0.9476,                0.93876,                0.97776,                0.92087,                0.33268,                0.41574,                0.96193,             0.00018266,             0.00018266,             0.00018266
                     71,                 0.3974,                0.60768,                 1.0593,                0.99549,                0.97294,                  0.995,                0.92352,                0.38726,                0.52381,                0.98416,             0.00016719,             0.00016719,             0.00016719
                     72,                0.36874,                0.53483,                 1.0333,                0.99397,                0.97624,                  0.995,                0.94555,                0.32831,                 0.4224,                0.94802,             0.00015172,             0.00015172,             0.00015172
                     73,                0.34497,                0.49744,                 1.0084,                0.98987,                0.98771,                  0.995,                0.94692,                0.31588,                0.36611,                0.93716,             0.00013625,             0.00013625,             0.00013625
                     74,                0.32368,                0.50028,                0.97649,                0.95926,                 0.9997,                0.99371,                0.93273,                0.33215,                0.41461,                0.95784,             0.00012078,             0.00012078,             0.00012078
                     75,                0.32402,                 0.5002,                0.96706,                0.95731,                0.98254,                0.99332,                0.94152,                0.31338,                0.47233,                0.94199,             0.00010531,             0.00010531,             0.00010531
                     76,                0.32576,                0.48164,                0.97643,                0.96183,                0.96934,                 0.9771,                0.93526,                0.30934,                0.50878,                0.94352,             8.9844e-05,             8.9844e-05,             8.9844e-05
                     77,                0.30269,                0.49242,                0.96529,                0.98431,                0.99384,                  0.995,                0.94237,                0.29942,                0.44003,                0.93345,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     78,                0.29975,                0.47615,                0.95766,                0.95835,                0.96875,                 0.9783,                0.94466,                0.29951,                0.41846,                0.93828,             5.8906e-05,             5.8906e-05,             5.8906e-05
                     79,                 0.2909,                0.48417,                0.94488,                0.96754,                0.95389,                 0.9786,                0.94288,                0.29606,                0.40797,                0.93535,             4.3438e-05,             4.3438e-05,             4.3438e-05
                     80,                0.28842,                0.45279,                0.94851,                0.96992,                0.95548,                0.97805,                0.94237,                0.28997,                0.38885,                0.93254,             2.7969e-05,             2.7969e-05,             2.7969e-05
